CustomerID,Recency,EngagementDays,Frequency,Monetary,UniqueProducts,TotalQuantity,Country,AvgBasketSize,AvgSpendPerTxn,ChurnLabel,Segment,PCA1,PCA2
12346,325,1,1,77183.6,1,74215,United Kingdom,74215.0,77183.6,1,1,34.87831320050258,58.14398010016248
12347,1,366,7,4310.0,103,2458,Iceland,351.14285714285717,615.7142857142857,0,0,1.312622651787662,-0.9676916816665301
12348,74,283,4,1797.24,22,2341,Finland,585.25,449.31,1,0,0.3477733183486053,-0.12580562213684568
12349,18,1,1,1757.55,73,631,Italy,631.0,1757.55,0,2,-0.059567270629883255,0.7500685296624836
12350,309,1,1,334.4,17,197,Norway,197.0,334.4,1,2,-1.305576231008328,1.1697759150839826
12352,35,261,8,2506.04,59,536,Norway,67.0,313.255,1,0,0.504060336697796,-0.7547950524635995
12353,203,1,1,89.0,4,20,Bahrain,20.0,89.0,1,2,-1.243662984686235,0.7450156252685788
12354,231,1,1,1079.4,58,530,Spain,530.0,1079.4,1,2,-0.725188488685765,1.1765299859993255
12355,213,1,1,459.4,13,240,Bahrain,240.0,459.4,1,2,-1.0889738851689046,0.9570804143575676
12356,22,303,3,2811.43,53,1591,Portugal,530.3333333333334,937.1433333333332,0,0,0.6231429942192216,-0.2852227117718978
12357,32,1,1,6207.67,131,2708,Switzerland,2708.0,6207.67,1,2,1.6394766983020783,2.908780757637852
12358,1,150,2,1168.06,13,248,Austria,124.0,584.03,0,0,-0.23766404284721063,-0.10026118298856158
12359,57,275,4,6310.03,214,1609,Cyprus,402.25,1577.5075,1,0,1.4916563759665789,-0.525320288178782
12360,51,149,3,2662.06,105,1165,Austria,388.3333333333333,887.3533333333334,1,0,0.3666265776519417,-0.06555407845942579
12361,286,1,1,189.9,10,91,Belgium,91.0,189.9,1,2,-1.3475796891575431,1.0336518271906021
12362,2,293,10,5226.23,201,2229,Belgium,222.9,522.6229999999999,0,0,1.7220582903608148,-1.3044586254951676
12363,109,133,2,552.0,23,408,Unspecified,204.0,276.0,1,2,-0.5006002786282239,0.16616251272981683
12364,7,105,4,1313.1,70,1506,Belgium,376.5,328.275,0,0,0.13919707283233615,-0.17814057388115578
12365,290,1,2,641.38,22,174,Cyprus,87.0,320.69,1,2,-1.2005374166034888,1.0120866933329966
12367,3,1,1,168.9,11,173,Denmark,173.0,168.9,0,2,-0.7442017602766144,0.21914450520803844
12370,50,310,4,3541.94,143,2352,Cyprus,588.0,885.485,1,0,1.13600757542229,-0.5364675722587335
12371,44,15,2,1887.96,63,591,Switzerland,295.5,943.98,1,2,-0.2530838824681974,0.40266883012726623
